"age","qx","lx","dx","Lx","Tx","ex","ax"
88,0.02151,46391.36,998,45892.37,503490.87,10.85,9.66
89,0.0219,45393.37,994.32,44896.21,457598.5,10.08,9.12
90,0.0223,44399.05,990.08,43904.01,412702.3,9.3,8.55
91,0.0227,43408.96,985.29,42916.32,368798.29,8.5,7.95
92,0.0231,42423.67,979.95,41933.7,325881.97,7.68,7.33
93,0.0235,41443.72,974.07,40956.69,283948.27,6.85,6.67
94,0.02391,40469.65,967.66,39985.82,242991.59,6,5.98
95,0.02432,39501.99,960.74,39021.62,203005.77,5.14,5.26
96,0.02473,38541.25,953.31,38064.59,163984.15,4.25,4.49
97,0.02515,37587.94,945.39,37115.24,125919.56,3.35,3.69
98,0.02557,36642.55,936.98,36174.06,88804.31,2.42,2.84
99,0.02599,35705.57,928.11,35241.52,52630.25,1.47,1.95
100,0.02642,34777.46,918.78,17388.73,17388.73,0.5,1
